397,392
757,714
80,449
651,333
398,433
327,368
50,553
24,518
37,139
718,577
701,622
543,47
625,142
799,589
79,268
492,738
58,364
721,548
419,497
347,792
223,495
475,790
408,747
78,650
118,720
270,496
776,623
635,683
305,256
657,77
563,479
339,352
436,353
206,790
121,367
238,119
489,650
222,468
375,693
788,513
80,358
649,312
418,351
586,32
711,751
43,277
706,673
543,202
558,410
559,41
291,442
85,456
707,652
505,619
68,493
84,663
66,791
484,78
245,759
443,171
788,437
175,110
749,169
277,424
428,115
432,703
45,166
759,539
21,108
713,557
286,523
590,749
11,13
182,182
55,558
755,560
495,26
592,659
13,720
98,796
141,427
243,646
220,203
574,391
303,201
39,663
443,162
632,150
761,50
758,239
92,323
458,187
490,548
688,23
582,443
235,412
215,776
341,129
21,103
79,238
453,94
800,723
457,375
151,283
744,418
103,607
78,688
301,363
29,215
38,736
189,281
650,689
143,14
212,283
462,575
546,278
53,631
439,220
453,18
588,35
370,595
702,748
661,548
741,705
321,602
461,76
482,691
191,382
397,31
345,309
62,516
208,316
423,218
538,70
212,143
310,245
57,137
132,46
561,371
679,322
72,346
710,77
264,74
241,510
386,275
765,147
404,361
570,101
330,474
552,394
170,652
124,752
732,127
529,680
249,666
19,60
558,38
73,399
734,197
398,642
595,68
653,667
194,412
430,206
87,589
513,520
707,28
371,730
208,776
273,329
481,109
333,259
549,147
305,617
478,410
623,102
138,76
623,317
370,718
161,213
48,638
707,629
360,88
374,193
219,142
147,354
167,258
717,419
262,178
274,402
765,168
232,512
207,156
231,456
407,124
391,743
275,266
172,562
691,702
487,762
595,613
164,678
686,755
343,179
418,211
224,646
312,417
284,401
507,276
433,782
28,613
216,370
452,145
487,590
573,369
285,366
271,468
638,301
547,354
291,59
270,301
205,146
411,257
658,508
710,39
252,259
685,791
539,497
526,116
223,371
70,746
200,276
65,586
118,63
236,532
650,407
562,576
496,264
251,315
685,776
145,605
529,323
452,410
101,481
740,427
573,737
301,172
391,469
670,560
374,116
488,547
322,539
155,72
502,402
272,250
474,57
369,696
42,347
596,471
187,681
257,778
29,188
744,72
587,311
495,445
500,695
713,210
88,749
620,143
54,478
610,175
338,360
501,495
440,535
41,53
272,33
647,315
320,728
26,131
601,322
679,468
601,529
606,734
758,147
479,706
619,490
731,359
754,765
344,531
754,459
365,546
520,80
72,35
631,775
467,621
354,187
32,89
737,55
103,567
295,781
204,481
563,154
716,629
362,37
788,618
514,75
52,195
575,539
135,459
488,654
546,777
393,491
430,164
614,620
716,776
555,221
471,469
502,435
520,670
790,185
116,619
301,550
482,781
136,749
209,373
783,670
11,737
310,630
404,346
617,781
785,250
635,637
707,413
744,312
797,59
501,116
166,389
286,668
330,602
546,612
139,404
419,739
318,291
760,500
597,752
305,641
117,763
263,733
211,208
208,337
614,731
311,472
745,388
407,419
192,709
573,511
566,103
719,468
68,594
445,386
589,609
683,676
651,666
357,784
111,422
520,36
486,373
638,63
491,656
399,240
213,26
35,600
473,488
386,46
784,132
543,350
156,310
71,512
173,688
543,89
13,623
666,168
205,747
130,527
214,355
269,214
143,596
269,47
88,159
655,105
150,140
784,19
324,511
536,309
238,526
45,417
286,446
375,616
230,739
671,379
608,423
315,310
44,321
449,499
26,577
244,515
178,61
464,192
704,451
563,556
81,537
733,254
704,326
701,660
765,241
735,620
273,773
550,139
383,63
565,48
692,737
403,641
627,431
74,683
434,741
382,479
534,523
403,174
759,107
395,315
274,511
304,558
193,427
251,235
645,703
201,659
711,61
399,718
709,24
578,237
593,403
390,664
40,486
484,507
794,511
582,476
113,719
372,470
300,471
195,448
462,352
688,466
454,144
697,77
472,759
414,59
551,425
616,150
51,504
470,604
161,146
447,795
199,710
116,410
310,751
540,773
748,385
657,671
34,388
539,275
617,84
473,364
608,446
355,357
640,349
503,151
408,240
274,657
557,35
787,545
10,621
236,236
433,85
665,313
325,330
375,434
320,493
264,493
115,347
549,140
187,596
162,178
556,450
343,624
93,519
721,657
512,186
199,511
100,26
786,104
